,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Type_of_Item,Years_of_Operation,ItemType_Breads,ItemType_Breakfast,ItemType_Canned,ItemType_Dairy,ItemType_Frozen Foods,ItemType_Fruits and Vegetables,ItemType_Hard Drinks,ItemType_Health and Hygiene,ItemType_Household,ItemType_Meat,ItemType_Others,ItemType_Seafood,ItemType_Snack Foods,ItemType_Soft Drinks,ItemType_Starchy Foods
23,FDC37,,1,0.057556998,107.6938,OUT019,1985-01-01,Small,Tier 1,Grocery Store,214.3876,Food,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,FDR28,13.85,2,0.025896485,165.021,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,4078.025,Food,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,NCD06,13.0,1,0.099887103,45.906,OUT017,2007-01-01,,Tier 2,Supermarket Type1,838.908,Non-Consumables,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,FDV10,7.645,2,0.066693437,42.3112,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,1065.28,Food,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,DRJ59,11.65,1,0.019356132,39.1164,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,308.9312,Drinks,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,FDE51,5.925,2,0.161466534,45.5086,OUT010,1998-01-01,,Tier 3,Grocery Store,178.4344,Food,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,FDC14,,2,0.072221801,43.6454,OUT019,1985-01-01,Small,Tier 1,Grocery Store,125.8362,Food,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,FDV38,19.25,1,0.170348551,55.7956,OUT010,1998-01-01,,Tier 3,Grocery Store,163.7868,Food,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,NCS17,18.6,1,0.080829372,96.4436,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,2741.7644,Non-Consumables,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,FDP33,18.7,1,0.0,256.6672,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,3068.0064,Food,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,FDO23,17.85,1,0.0,93.1436,OUT045,2002-01-01,,Tier 2,Supermarket Type1,2174.5028,Food,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,DRH01,17.5,1,0.097904029,174.8738,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,2085.2856,Drinks,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,NCX29,10.0,1,0.089291137,146.7102,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,3791.0652,Non-Consumables,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,FDV20,,2,0.059511812,128.0678,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,2797.6916,Food,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,DRZ11,8.85,2,0.113123893,122.5388,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,1609.9044,Drinks,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,FDX10,,2,0.123111453,36.9874,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,388.1614,Food,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,FDB34,,1,0.026480954,87.6198,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,2180.495,Food,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,FDU02,13.35,1,0.102511504,230.6352,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,3435.528,Food,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,FDK43,9.8,1,0.02681843,126.002,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,2150.534,Food,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,FDA46,13.6,1,0.117818348,192.9136,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,2527.3768,Food,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,FDC02,21.35,1,0.069102831,259.9278,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,6768.5228,Food,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,FDL50,12.15,2,0.042277867,126.5046,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,373.5138,Food,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,FDM39,6.42,1,0.089498926,178.1002,OUT010,1998-01-01,,Tier 3,Grocery Store,358.2004,Food,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,NCP05,19.6,1,0.0,153.3024,OUT045,2002-01-01,,Tier 2,Supermarket Type1,2428.8384,Non-Consumables,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,FDV49,10.0,1,0.025879577,265.2226,OUT045,2002-01-01,,Tier 2,Supermarket Type1,5815.0972,Food,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,FDL12,15.85,2,0.121632721,60.622,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,2576.646,Food,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,FDS02,,2,0.255394896,196.8794,OUT019,1985-01-01,Small,Tier 1,Grocery Store,780.3176,Food,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,NCL17,7.39,1,0.067779712,143.8812,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,3134.5864,Non-Consumables,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,FDM40,10.195,1,0.159803853,141.5154,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,850.8924,Food,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,FDR13,9.895,2,0.028696932,117.0492,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,810.9444,Food,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,FDA43,10.895,1,0.065041581,196.3794,OUT017,2007-01-01,,Tier 2,Supermarket Type1,3121.2704,Food,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54,NCP18,12.15,1,0.028760013,151.4708,OUT017,2007-01-01,,Tier 2,Supermarket Type1,4815.0656,Non-Consumables,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55,FDK21,7.905,1,0.010053105,249.0408,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,6258.52,Food,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,NCX54,9.195,1,0.048157338,106.1622,OUT045,2002-01-01,,Tier 2,Supermarket Type1,2117.244,Non-Consumables,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,DRK35,8.365,1,0.071958197,38.0506,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,796.9626,Drinks,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
58,FDY21,15.1,1,0.173481304,194.511,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,4910.275,Food,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,FDI26,,1,0.061082177,180.0344,OUT019,1985-01-01,Small,Tier 1,Grocery Store,892.172,Food,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,FDM20,10.0,1,0.0,246.9144,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,3185.1872,Food,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,FDV27,7.97,2,0.040071131,87.3514,OUT045,2002-01-01,,Tier 2,Supermarket Type1,1062.6168,Food,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,FDF09,,1,0.012090074,38.2848,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,484.7024,Food,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63,FDY40,,2,0.15028599,51.0692,OUT019,1985-01-01,Small,Tier 1,Grocery Store,147.8076,Food,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,FDY45,,1,0.026015519,255.8356,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,2543.356,Food,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,FDC46,17.7,1,0.195068226,185.4266,OUT010,1998-01-01,,Tier 3,Grocery Store,184.4266,Food,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,FDH19,19.35,1,0.033082215,172.5738,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,4865.6664,Food,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,FDZ03,13.65,2,0.078946455,186.024,OUT045,2002-01-01,,Tier 2,Supermarket Type1,1118.544,Food,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,DRH37,17.6,1,0.041700756,164.8526,OUT045,2002-01-01,,Tier 2,Supermarket Type1,2302.3364,Drinks,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69,NCI17,8.645,1,0.143422643,95.841,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,2027.361,Non-Consumables,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70,FDJ58,15.6,2,0.105296072,170.1764,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,3435.528,Food,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71,FDL12,15.85,2,0.121531501,59.222,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,599.22,Food,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,FDH35,18.25,1,0.0,164.7526,OUT045,2002-01-01,,Tier 2,Supermarket Type1,4604.6728,Food,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,FDG02,7.855,1,0.011324862,189.6188,OUT017,2007-01-01,,Tier 2,Supermarket Type1,2285.0256,Food,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,NCZ18,7.825,1,0.186357148,254.3698,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,5580.7356,Non-Consumables,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75,FDC29,8.39,2,0.024205661,114.0176,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,2290.352,Food,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,FDQ10,12.85,1,0.033230816,172.3422,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,1207.0954,Food,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
77,FDN48,,1,0.113720344,89.9804,OUT019,1985-01-01,Small,Tier 1,Grocery Store,643.1628,Food,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,FDL04,19.0,1,0.112556507,104.9622,OUT017,2007-01-01,,Tier 2,Supermarket Type1,1587.933,Food,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79,FDV25,5.905,1,0.0,222.5456,OUT045,2002-01-01,,Tier 2,Supermarket Type1,5305.0944,Food,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,FDD58,7.76,1,0.059352241,101.87,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,1697.79,Food,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
81,FDN04,11.8,2,0.014087057,180.3344,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,1427.4752,Food,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,FDV45,16.75,1,0.045230944,187.9556,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,4693.89,Food,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83,NCL18,,1,0.293417759,194.6136,OUT019,1985-01-01,Small,Tier 1,Grocery Store,583.2408,Non-Consumables,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,FDR12,,2,0.031382044,171.3764,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,3091.9752,Food,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,FDG20,15.5,2,0.12639886,177.0028,OUT017,2007-01-01,,Tier 2,Supermarket Type1,2479.4392,Food,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
86,FDZ55,6.055,1,0.025403898,160.992,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,2716.464,Food,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87,FDQ49,,2,0.039057677,155.963,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,3285.723,Food,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,FDN33,6.305,2,0.123115764,95.6436,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,661.8052,Food,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,FDN27,20.85,1,0.039624006,117.2808,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,1523.3504,Food,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90,FDW20,20.75,1,0.040421193,122.173,OUT010,1998-01-01,,Tier 3,Grocery Store,369.519,Food,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
91,DRG27,8.895,1,0.105274111,39.9138,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,690.4346,Drinks,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
92,DRI25,19.6,1,0.033970195,55.1614,OUT045,2002-01-01,,Tier 2,Supermarket Type1,1381.535,Drinks,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
93,FDA44,19.7,1,0.053212652,57.893,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,622.523,Food,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
94,NCR17,9.8,1,0.024378706,114.5492,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,1274.3412,Non-Consumables,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
95,FDU04,,1,0.009714595,120.0414,OUT019,1985-01-01,Small,Tier 1,Grocery Store,487.3656,Food,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
96,FDF41,12.15,1,0.131383762,246.046,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,1231.73,Food,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
97,FDB56,8.75,2,0.07461309,187.4556,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,3755.112,Food,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
98,NCP18,,1,0.028459761,149.9708,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,4363.6532,Non-Consumables,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
99,FDB56,8.75,2,0.074627201,187.8556,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,1314.2892,Food,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100,FDT28,13.3,1,0.063695084,151.0708,OUT045,2002-01-01,,Tier 2,Supermarket Type1,1805.6496,Food,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,FDD10,,2,0.045797829,178.5344,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,2854.9504,Food,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102,FDW57,8.31,2,0.115857223,179.1028,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,3896.2616,Food,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103,DRB48,16.75,2,0.024832806,38.7822,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,667.7974,Drinks,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
104,FDP09,19.75,1,0.034027909,212.0902,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,3185.853,Food,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105,FDH14,17.1,2,0.0467696,141.1838,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,2247.7408,Food,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,FDA47,10.5,2,0.116576702,163.121,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,1794.331,Food,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,FDG12,6.635,2,0.0,121.3098,OUT045,2002-01-01,,Tier 2,Supermarket Type1,2530.7058,Food,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,DRE60,,1,0.278974075,225.372,OUT019,1985-01-01,Small,Tier 1,Grocery Store,679.116,Drinks,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
109,DRK49,14.15,1,0.035913805,41.4138,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,812.276,Drinks,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
110,FDD03,13.3,1,0.079806266,232.53,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,699.09,Food,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111,FDS52,8.89,1,0.005505481,102.4016,OUT017,2007-01-01,,Tier 2,Supermarket Type1,2732.4432,Food,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
112,FDW39,,2,0.064625342,176.937,OUT019,1985-01-01,Small,Tier 1,Grocery Store,176.437,Food,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
113,FDX34,,1,0.071636937,121.7098,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,4097.3332,Food,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
114,FDV11,9.1,2,0.0,173.2054,OUT045,2002-01-01,,Tier 2,Supermarket Type1,3151.8972,Food,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,FDD17,7.5,1,0.032677678,239.0906,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,5942.265,Food,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,FDZ16,16.85,2,0.160760054,192.4478,OUT017,2007-01-01,,Tier 2,Supermarket Type1,4843.695,Food,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
117,FDZ46,7.485,1,0.06911065,109.0228,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,2542.0244,Food,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
118,DRA12,11.6,1,0.041177505,140.3154,OUT017,2007-01-01,,Tier 2,Supermarket Type1,2552.6772,Drinks,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
119,FDY58,11.65,1,0.040081193,227.0694,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,1141.847,Food,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
120,NCF19,13.0,1,0.035307322,47.5034,OUT017,2007-01-01,,Tier 2,Supermarket Type1,680.4476,Non-Consumables,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
121,DRJ13,12.65,1,0.063017847,159.0578,OUT045,2002-01-01,,Tier 2,Supermarket Type1,2085.9514,Drinks,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
122,FDB14,20.25,2,0.171938781,92.512,OUT010,1998-01-01,,Tier 3,Grocery Store,186.424,Food,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
123,FDJ38,8.6,2,0.040197932,190.153,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,3036.048,Food,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124,FDW11,12.6,1,0.049058014,62.7194,OUT017,2007-01-01,,Tier 2,Supermarket Type1,866.8716,Food,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,FDL40,17.7,1,0.01161096,95.041,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,868.869,Food,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
126,DRI49,14.15,1,0.183507295,82.4276,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,1137.1864,Drinks,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
127,FDV38,19.25,1,0.102349519,52.7956,OUT017,2007-01-01,,Tier 2,Supermarket Type1,928.1252,Food,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
128,DRG23,8.88,1,0.086708987,151.7682,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,762.341,Drinks,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
129,NCP30,20.5,1,0.032835147,40.2822,OUT045,2002-01-01,,Tier 2,Supermarket Type1,707.0796,Non-Consumables,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
130,FDY25,,1,0.033809913,180.5976,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,7968.2944,Food,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131,NCH54,13.5,1,0.07266912,160.292,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,1438.128,Non-Consumables,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
132,NCR53,,1,0.144338493,224.4404,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,6976.2524,Non-Consumables,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
133,FDS52,8.89,1,0.009163216,101.7016,OUT010,1998-01-01,,Tier 3,Grocery Store,101.2016,Food,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
134,FDG02,7.855,1,0.011307038,188.5188,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,952.094,Food,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
135,NCO26,7.235,1,0.076855628,116.0492,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,1969.4364,Non-Consumables,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
136,FDH35,,1,0.059956876,165.4526,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,5262.4832,Food,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,FDB51,6.92,1,0.038532062,60.5852,OUT045,2002-01-01,,Tier 2,Supermarket Type1,1314.2892,Food,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138,FDX44,9.3,1,0.043209581,90.8172,OUT017,2007-01-01,,Tier 2,Supermarket Type1,535.3032,Food,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
139,NCN07,18.5,1,0.056816465,132.1284,OUT010,1998-01-01,,Tier 3,Grocery Store,263.6568,Non-Consumables,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
140,NCC31,8.02,1,0.019866705,154.5972,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,1402.1748,Non-Consumables,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
141,NCX54,9.195,1,0.048331717,105.1622,OUT017,2007-01-01,,Tier 2,Supermarket Type1,1693.7952,Non-Consumables,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
